timeperiod,gt_date,Material,SubLotItemId,ComponentName,P100MOD_Lower_Spec,P100MOD_Upper_Spec,P100MOD_Actual,P10MOD_Lower_Spec,P10MOD_Upper_Spec,P10MOD_Actual,P300MOD_Lower_Spec,P300MOD_Upper_Spec,P300MOD_Actual,PDISP30X_Lower_Spec,PDISP30X_Upper_Spec,PDISP30X_Actual,PEB_Lower_Spec,PEB_Upper_Spec,PEB_Actual,PHARD_Lower_Spec,PHARD_Upper_Spec,PHARD_Actual,PMDRMH_Lower_Spec,PMDRMH_Upper_Spec,PMDRMH_Actual,PMDRML_Lower_Spec,PMDRML_Upper_Spec,PMDRML_Actual,PMDRT10_Lower_Spec,PMDRT10_Upper_Spec,PMDRT10_Actual,PMDRT2_Lower_Spec,PMDRT2_Upper_Spec,PMDRT2_Actual,PMDRT50_Lower_Spec,PMDRT50_Upper_Spec,PMDRT50_Actual,PMDRT90_Lower_Spec,PMDRT90_Upper_Spec,PMDRT90_Actual,PMIV_Lower_Spec,PMIV_Upper_Spec,PMIV_Actual,PML4_Lower_Spec,PML4_Upper_Spec,PML4_Actual,PMV_Lower_Spec,PMV_Upper_Spec,PMV_Actual,PRBRESIL_Lower_Spec,PRBRESIL_Upper_Spec,PRBRESIL_Actual,PSPGR_Lower_Spec,PSPGR_Upper_Spec,PSPGR_Actual,PT35_Lower_Spec,PT35_Upper_Spec,PT35_Actual,PT5_Lower_Spec,PT5_Upper_Spec,PT5_Actual,PTENSTG_Lower_Spec,PTENSTG_Upper_Spec,PTENSTG_Actual
Test 2,24-04-2022,2156016WSTTL-VL,4L4220224232120,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,10.04,7.5,3,1.98,1,3,0.42,1,3,0.63,1,3,0.95,1.36,1.72,1.57,,,,,,,,,,,,,,,1.092,,,,,,,,,
Test 2,24-04-2022,2156016WSTTL-VL,4L422022422232855,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.69,4.8,3,1.57,1,3,0.5,1,3,0.98,1,3,1.15,1.9,2.7,2.18,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,24-04-2022,2156016WSTTL-VL,4L4220224230357,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.97,4.8,3,1.51,1,3,0.5,1,3,0.86,1,3,1.14,1.9,2.7,2.25,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,25-04-2022,2156016WSTTL-VL,4L4220224230357,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.97,4.8,3,1.51,1,3,0.5,1,3,0.86,1,3,1.14,1.9,2.7,2.25,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,24-04-2022,2156016WSTTL-VL,4L4220224230137,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.93,4.8,3,1.42,1,3,0.49,1,3,0.83,1,3,1.13,1.9,2.7,2.26,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,25-04-2022,2156016WSTTL-VL,4L4220224230137,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.93,4.8,3,1.42,1,3,0.49,1,3,0.83,1,3,1.13,1.9,2.7,2.26,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,24-04-2022,2156016WSTTL-VL,4L42202242321842,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,9.75,7.5,3,1.83,1,3,0.41,1,3,0.63,1,3,0.95,1.36,1.72,1.56,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,25-04-2022,2156016WSTTL-VL,4L42202242321842,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,9.75,7.5,3,1.83,1,3,0.41,1,3,0.63,1,3,0.95,1.36,1.72,1.56,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,25-04-2022,2156016WSTTL-VL,4L42202242223327,IL,,,,,,,,,,,,,,,,1,3,61,4.8,7.2,6.61,4.8,3,1.58,1,3,0.5,1,3,0.98,1,3,1.13,1.9,2.7,2.13,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,25-04-2022,2156016WSTTL-VL,4L42202242320398,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,10.18,7.5,3,1.72,1,3,0.41,1,3,0.6,1,3,0.93,1.36,1.72,1.52,,,,,,,,,,,,,,,,,,,,,,,,
